,date,stock_code,prev,open,high,low,close,change
355,06 Jul 2022,INTP,9225,9225,9325,9025,9325,100
448,06 Jul 2022,MAPI,900,0,920,885,900,0
645,06 Jul 2022,SIDO,975,0,990,975,980,5
754,06 Jul 2022,UNTR,27975,27875,27875,26375,26800,-1175
755,06 Jul 2022,UNVR,4760,4740,4830,4710,4780,20
4,07 Jul 2022,ACES,755,0,775,755,765,10
34,07 Jul 2022,AMRT,2030,2030,2040,1900,1900,-130
56,07 Jul 2022,ASII,6075,6025,6125,5900,5950,-125
317,07 Jul 2022,HRUM,1470,1470,1500,1420,1450,-20
347,07 Jul 2022,INKP,7325,7325,7375,7225,7275,-50
355,07 Jul 2022,INTP,9325,9325,9325,9100,9125,-200
448,07 Jul 2022,MAPI,900,0,925,890,925,25
645,07 Jul 2022,SIDO,980,0,990,975,985,5
755,07 Jul 2022,UNTR,26800,26775,26925,26350,26775,-25
756,07 Jul 2022,UNVR,4780,4820,5025,4800,5000,220
4,08 Jul 2022,ACES,765,0,800,765,795,30
34,08 Jul 2022,AMRT,1900,1900,2030,1895,1900,0
57,08 Jul 2022,ASII,5950,6025,6075,5950,5975,25
319,08 Jul 2022,HRUM,1450,1495,1530,1470,1500,50
349,08 Jul 2022,INKP,7275,7325,7350,7250,7275,0
357,08 Jul 2022,INTP,9125,9200,9250,9050,9175,50
450,08 Jul 2022,MAPI,925,0,930,905,910,-15
647,08 Jul 2022,SIDO,985,0,985,970,970,-15
758,08 Jul 2022,UNTR,26775,27200,27600,26925,27450,675
759,08 Jul 2022,UNVR,5000,5025,5025,4810,4890,-110
4,11 Jul 2022,ACES,795,0,805,760,775,-20
34,11 Jul 2022,AMRT,1900,1910,2000,1910,1920,20
57,11 Jul 2022,ASII,5975,5975,6075,5925,6050,75
319,11 Jul 2022,HRUM,1500,1505,1520,1460,1510,10
349,11 Jul 2022,INKP,7275,7275,7550,7275,7525,250
357,11 Jul 2022,INTP,9175,9075,9125,9025,9125,-50
450,11 Jul 2022,MAPI,910,0,925,890,895,-15
647,11 Jul 2022,SIDO,970,0,990,970,980,10
758,11 Jul 2022,UNTR,27450,27450,27450,26900,27225,-225
759,11 Jul 2022,UNVR,4890,4900,4910,4750,4800,-90
4,12 Jul 2022,ACES,775,0,780,765,770,-5
34,12 Jul 2022,AMRT,1920,1930,1970,1920,1930,10
57,12 Jul 2022,ASII,6050,6050,6150,6050,6100,50
319,12 Jul 2022,HRUM,1510,1525,1535,1495,1510,0
349,12 Jul 2022,INKP,7525,7525,7550,7400,7475,-50
357,12 Jul 2022,INTP,9125,9125,9125,9000,9075,-50
450,12 Jul 2022,MAPI,895,0,915,890,895,0
647,12 Jul 2022,SIDO,980,0,985,965,980,0
758,12 Jul 2022,UNTR,27225,27250,27750,26775,26925,-300
759,12 Jul 2022,UNVR,4800,4800,4880,4770,4880,80
4,13 Jul 2022,ACES,770,0,780,750,750,-20
34,13 Jul 2022,AMRT,1930,1945,1945,1900,1935,5
57,13 Jul 2022,ASII,6100,6100,6100,5825,5825,-275
319,13 Jul 2022,HRUM,1510,1515,1520,1465,1480,-30
349,13 Jul 2022,INKP,7475,7500,7500,7400,7500,25
357,13 Jul 2022,INTP,9075,9075,9100,9000,9025,-50
450,13 Jul 2022,MAPI,895,0,900,850,850,-45
647,13 Jul 2022,SIDO,980,0,980,950,955,-25
758,13 Jul 2022,UNTR,26925,27750,28450,27600,28275,1350
759,13 Jul 2022,UNVR,4880,4900,4920,4820,4900,20
4,14 Jul 2022,ACES,750,0,760,735,745,-5
34,14 Jul 2022,AMRT,1935,1935,1950,1910,1945,10
57,14 Jul 2022,ASII,5825,5825,6100,5825,6100,275
319,14 Jul 2022,HRUM,1480,1470,1510,1450,1485,5
349,14 Jul 2022,INKP,7500,7475,7625,7350,7625,125
357,14 Jul 2022,INTP,9025,9000,9075,8975,9050,25
450,14 Jul 2022,MAPI,850,0,895,830,870,20
647,14 Jul 2022,SIDO,955,0,975,950,970,15
758,14 Jul 2022,UNTR,28275,28300,29975,28300,29800,1525
759,14 Jul 2022,UNVR,4900,4900,4900,4800,4900,0
4,15 Jul 2022,ACES,745,0,765,740,745,0
34,15 Jul 2022,AMRT,1945,1940,1940,1860,1860,-85
57,15 Jul 2022,ASII,6100,6000,6075,5925,5950,-150
319,15 Jul 2022,HRUM,1485,1450,1450,1385,1385,-100
349,15 Jul 2022,INKP,7625,7625,7625,7425,7450,-175
357,15 Jul 2022,INTP,9050,9050,9350,9025,9125,75
450,15 Jul 2022,MAPI,870,0,900,880,895,25
647,15 Jul 2022,SIDO,970,0,975,960,965,-5
758,15 Jul 2022,UNTR,29800,29700,29700,28925,29025,-775
759,15 Jul 2022,UNVR,4900,4900,4930,4820,4830,-70
4,18 Jul 2022,ACES,745,0,755,730,730,-15
34,18 Jul 2022,AMRT,1860,1855,1870,1785,1850,-10
57,18 Jul 2022,ASII,5950,5975,6025,5950,6025,75
